"Date d'admission","Hors soins intensifs","Aux soins intensifs","Moyenne mobile (7 jours)"
"2020-02-24 00:00:00",3,1,1.43
"2020-02-25 00:00:00",1,1,1.71
"2020-02-26 00:00:00",2,1,2.43
"2020-02-27 00:00:00",1,0,2.86
"2020-02-28 00:00:00",1,1,2.43
"2020-02-29 00:00:00",3,2,2.29
"2020-03-01 00:00:00",2,1,2.14
"2020-03-02 00:00:00",1,0,3
"2020-03-03 00:00:00",0,1,3.43
"2020-03-04 00:00:00",2,0,3
"2020-03-05 00:00:00",7,0,3
"2020-03-06 00:00:00",4,1,3.86
"2020-03-07 00:00:00",2,0,4.71
"2020-03-08 00:00:00",3,0,5.86
"2020-03-09 00:00:00",3,4,5.43
"2020-03-10 00:00:00",6,1,5.86
"2020-03-11 00:00:00",7,3,6.43
"2020-03-12 00:00:00",3,1,7.14
"2020-03-13 00:00:00",5,3,6.86
"2020-03-14 00:00:00",5,1,7.43
"2020-03-15 00:00:00",6,2,8.14
"2020-03-16 00:00:00",3,2,10
"2020-03-17 00:00:00",8,3,12.14
"2020-03-18 00:00:00",8,7,14.57
"2020-03-19 00:00:00",12,5,17.86
"2020-03-20 00:00:00",14,9,22
"2020-03-21 00:00:00",11,12,26.57
"2020-03-22 00:00:00",22,9,31.14
"2020-03-23 00:00:00",22,12,38.14
"2020-03-24 00:00:00",29,14,40.86
"2020-03-25 00:00:00",31,16,44.43
"2020-03-26 00:00:00",47,19,50.14
"2020-03-27 00:00:00",30,12,56.29
"2020-03-28 00:00:00",32,16,61.71
"2020-03-29 00:00:00",51,20,67.86
"2020-03-30 00:00:00",63,14,69
"2020-03-31 00:00:00",58,23,76.43
"2020-04-01 00:00:00",69,21,82
"2020-04-02 00:00:00",59,15,83
"2020-04-03 00:00:00",71,23,86.14
"2020-04-04 00:00:00",73,14,91.57
"2020-04-05 00:00:00",59,19,94.86
"2020-04-06 00:00:00",79,20,101.14
"2020-04-07 00:00:00",100,19,103.43
"2020-04-08 00:00:00",88,25,105.14
"2020-04-09 00:00:00",92,26,108.14
"2020-04-10 00:00:00",88,22,107.57
"2020-04-11 00:00:00",82,17,109
"2020-04-12 00:00:00",87,12,112.29
"2020-04-13 00:00:00",77,18,112.29
"2020-04-14 00:00:00",116,13,114.43
"2020-04-15 00:00:00",117,19,117.29
"2020-04-16 00:00:00",98,20,118.29
"2020-04-17 00:00:00",118,7,121.14
"2020-04-18 00:00:00",95,24,125.71
"2020-04-19 00:00:00",88,18,124.71
"2020-04-20 00:00:00",97,18,123.29
"2020-04-21 00:00:00",141,20,122.43
"2020-04-22 00:00:00",109,20,118
"2020-04-23 00:00:00",88,20,119.43
"2020-04-24 00:00:00",102,17,119.43
"2020-04-25 00:00:00",69,19,114
"2020-04-26 00:00:00",101,15,111.86
"2020-04-27 00:00:00",98,17,113.29
"2020-04-28 00:00:00",106,17,114
"2020-04-29 00:00:00",99,15,114.29
"2020-04-30 00:00:00",106,12,113.86
"2020-05-01 00:00:00",106,18,112.29
"2020-05-02 00:00:00",75,15,109.86
"2020-05-03 00:00:00",93,20,107.86
"2020-05-04 00:00:00",87,17,105.86
"2020-05-05 00:00:00",89,17,100.57
"2020-05-06 00:00:00",88,12,99.43
"2020-05-07 00:00:00",93,11,95.14
"2020-05-08 00:00:00",66,21,93.43
"2020-05-09 00:00:00",70,12,90.43
"2020-05-10 00:00:00",68,15,88.43
"2020-05-11 00:00:00",80,12,83.86
"2020-05-12 00:00:00",72,13,84.43
"2020-05-13 00:00:00",69,17,82.57
"2020-05-14 00:00:00",59,13,81.29
"2020-05-15 00:00:00",77,14,77.57
"2020-05-16 00:00:00",55,14,74.57
"2020-05-17 00:00:00",61,13,72.57
"2020-05-18 00:00:00",49,17,73.29
"2020-05-19 00:00:00",51,13,69.43
"2020-05-20 00:00:00",63,9,68.29
"2020-05-21 00:00:00",65,12,65.29
"2020-05-22 00:00:00",57,7,63.29
"2020-05-23 00:00:00",47,14,62.57
"2020-05-24 00:00:00",44,9,59.86
"2020-05-25 00:00:00",39,13,56
"2020-05-26 00:00:00",53,6,53.57
"2020-05-27 00:00:00",44,9,50.43
"2020-05-28 00:00:00",38,12,48.43
"2020-05-29 00:00:00",42,5,48
"2020-05-30 00:00:00",31,8,43.86
"2020-05-31 00:00:00",33,6,41.71
"2020-06-01 00:00:00",41,8,38.43
"2020-06-02 00:00:00",20,10,37.14
"2020-06-03 00:00:00",31,7,35.86
"2020-06-04 00:00:00",25,2,34.57
"2020-06-05 00:00:00",31,7,31
"2020-06-06 00:00:00",26,4,30.43
"2020-06-07 00:00:00",26,4,28.14
"2020-06-08 00:00:00",18,6,28
"2020-06-09 00:00:00",20,6,26.71
"2020-06-10 00:00:00",19,3,24.71
"2020-06-11 00:00:00",23,3,22.29
"2020-06-12 00:00:00",26,3,21
"2020-06-13 00:00:00",14,2,19.57
"2020-06-14 00:00:00",10,3,19.14
"2020-06-15 00:00:00",15,0,17.43
